Name	Anlageklasse	Gewichtung (%)	Kurs	Nominale	Marktwert	Nominalwert	Sektor	ISIN	Börse	Country	Weighting
LG CORP	Aktien	0,12	89,39	22209	1985273	1985273,14	Industrie	KR7003550001	Südkorea Exchange (Stock Market)	Südkorea	0.00120503635726064
STATE BANK OF INDIA REG S INDIA GD	Aktien	0,12	59,3	33302	1974809	1974808,6	Financials	US8565522039	London Stock Exchange	Indien	0.00119868451029917
DIVIS LABORATORIES LTD	Aktien	0,12	58,37	33744	1969741	1969741,36	Gesundheitsversorgung	INE361B01024	National Stock Exchange Of India	Indien	0.00119560875799691
AMOREPACIFIC CORP	Aktien	0,12	250,79	7617	1910305	1910304,98	Nichtzyklische Konsumgüter	KR7090430000	Südkorea Exchange (Stock Market)	Südkorea	0.00115953160699896
BANK MANDIRI (PERSERO)	Aktien	0,11	0,43	4366400	1870878	1870877,93	Financials	ID1000095003	Indonesia Stock Exchange	Indonesien	0.00113559987299608
Volksrepublik China SHENHUA ENERGY LTD H	Aktien	0,11	2,24	830505	1862971	1862971,05	Energie	CNE1000002R0	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.0011308004941698
SK HOLDINGS INC	Aktien	0,11	241,84	7691	1859976	1859975,82	Industrie	KR7034730002	Südkorea Exchange (Stock Market)	Südkorea	0.00112898242643109
WIPRO LTD	Aktien	0,11	7,41	250733	1858700	1858699,76	IT	INE075A01022	National Stock Exchange Of India	Indien	0.0011282078737194
SM PRIME HOLDINGS INC	Aktien	0,11	0,78	2368350	1835546	1835545,66	Immobilien	PHY8076N1120	Philippine Stock Exchange Inc.	Philippinen	0.00111415362004645
MALAYAN BANKING	Aktien	0,11	1,98	911724	1804454	1804453,75	Financials	MYL1155OO000	Bursa Malaysia	Malaysia	0.00109528121341797
ASTRA INTERNATIONAL	Aktien	0,11	0,37	4848700	1772260	1772260,06	Zyklische Konsumgüter 	ID1000122807	Indonesia Stock Exchange	Indonesien	0.00107574003989241
SMOORE INTERNATIONAL HOLDINGS LTD	Aktien	0,11	6,14	287000	1763029	1763028,81	Nichtzyklische Konsumgüter	KYG8245V1023	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00107013678477913
KUAISHOU TECHNOLOGY	Aktien	0,11	26,61	65900	1753516	1753515,92	Kommunikation	KYG532631028	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00106436257765284
INNOLUX CORP	Aktien	0,11	0,84	2095176	1750391	1750390,63	IT	TW0003481008	Taiwan Stock Exchange	Taiwan	0.00106246556509517
WUXI APPTEC LTD H	Aktien	0,1	21,92	79228	1736370	1736369,79	Gesundheitsversorgung	CNE100003F19	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00105395508781176
NTPC LTD	Aktien	0,1	1,53	1133408	1734897	1734897,27	Versorger	INE733E01010	National Stock Exchange Of India	Indien	0.00105306128629849
AU OPTRONICS CORP	Aktien	0,1	0,88	1961000	1726756	1726755,68	IT	TW0002409000	Taiwan Stock Exchange	Taiwan	0.00104811944139149
ANHUI CONCH CEMENT LTD H	Aktien	0,1	5,59	308806	1725796	1725795,92	Materialien	CNE1000001W2	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00104753687888614
HDFC LIFE INSURANCE COMPANY LTD	Aktien	0,1	9,33	184110	1717120	1717120,1	Financials	INE795G01014	National Stock Exchange Of India	Indien	0.00104227076294551
AVENUE SUPERMARTS LTD	Aktien	0,1	43,79	39190	1716160	1716160,33	Nichtzyklische Konsumgüter	INE192R01011	National Stock Exchange Of India	Indien	0.00104168819437028
ADANI GREEN ENERGY LTD	Aktien	0,1	17,5	98050	1715392	1715392,35	Versorger	INE364U01010	National Stock Exchange Of India	Indien	0.00104122203996412
CIMB GROUP HOLDINGS	Aktien	0,1	1,08	1562683	1684578	1684578,33	Financials	MYL1023OO000	Bursa Malaysia	Malaysia	0.00102251830914481
GDS HOLDINGS LIMITED ADR REPRESENT	Aktien	0,1	74,35	22491	1672206	1672205,85	IT	US36165L1089	NASDAQ	Volksrepublik China	0.00101500836609009
PICC PROPERTY AND CASUALTY LTD H	Aktien	0,1	0,95	1754496	1669258	1669257,56	Financials	CNE100000593	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00101321879035355
TAIWAN COOPERATIVE FINANCIAL HOLDI	Aktien	0,1	0,76	2192998	1665919	1665918,73	Financials	TW0005880009	Taiwan Stock Exchange	Taiwan	0.00101119216164456
POWER GRID CORPORATION OF INDIA LT	Aktien	0,1	3,1	531907	1647678	1647677,67	Versorger	INE752E01010	National Stock Exchange Of India	Indien	0.00100012006277207
BANGKOK DUSIT MEDICAL SERVICES NON	Aktien	0,1	0,69	2355600	1619357	1619357,31	Gesundheitsversorgung	TH0264010R10	Stock Exchange Of Thailand	Thailand	0.000982929952875801
CITIC LTD	Aktien	0,1	1,19	1358977	1617068	1617068,49	Industrie	HK0267001375	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000981540667311183
Volksrepublik China CONCH VENTURE HOLDINGS LTD	Aktien	0,1	4,32	372000	1606580	1606579,99	Industrie	KYG2116J1085	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000975174276924655
TOP GLOVE CORPORATION	Aktien	0,1	1,19	1353000	1606032	1606031,98	Gesundheitsversorgung	MYL7113OO003	Bursa Malaysia	Malaysia	0.00097484164160066
YANG MING MARINE TRANSPORT CORP	Aktien	0,1	4,17	383000	1596409	1596409,24	Industrie	TW0002609005	Taiwan Stock Exchange	Taiwan	0.000969000756876623
ADVANCED INFO SERVICE NON-VOTING D	Aktien	0,1	5,42	294029	1593538	1593538,47	Kommunikation	TH0268010R11	Stock Exchange Of Thailand	Thailand	0.000967258234825812
BAJAJ FINSERV LTD	Aktien	0,09	166,5	9448	1573106	1573106,15	Financials	INE918I01018	National Stock Exchange Of India	Indien	0.000954856068107743
GLOBALWAFERS LTD	Aktien	0,09	30,75	51000	1568098	1568098,16	IT	TW0006488000	Gretai Securities Market	Taiwan	0.000951816279826118
KINGSOFT CORP LTD	Aktien	0,09	6,88	224000	1540625	1540625,38	IT	KYG5264Y1089	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000935140640556137
DR REDDYS LABORATORIES LTD	Aktien	0,09	71,98	21283	1531953	1531953,29	Gesundheitsversorgung	INE089A01023	National Stock Exchange Of India	Indien	0.000929876788679595
DELTA ELECTRONICS (THAILAND) NON-V	Aktien	0,09	18,1	83100	1503904	1503904,08	IT	TH0528010R18	Stock Exchange Of Thailand	Thailand	0.000912851263495469
CITIC SECURITIES COMPANY LTD H	Aktien	0,09	2,66	563000	1498798	1498797,84	Financials	CNE1000016V2	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000909751838673301
YAGEO CORP	Aktien	0,09	17,72	83745	1483897	1483897,33	IT	TW0002327004	Taiwan Stock Exchange	Taiwan	0.000900707412528632
TAIWAN MOBILE LTD	Aktien	0,09	3,64	402000	1465247	1465247,2	Kommunikation	TW0003045001	Taiwan Stock Exchange	Taiwan	0.000889387013201798
CIPLA LTD	Aktien	0,09	12,96	112486	1458187	1458186,8	Gesundheitsversorgung	INE059A01026	National Stock Exchange Of India	Indien	0.000885101437315347
Volksrepublik China DEVELOPMENT FINANCIAL HOLDIN	Aktien	0,09	0,46	3187000	1454910	1454909,78	Financials	TW0002883006	Taiwan Stock Exchange	Taiwan	0.000883112326515475
BANK OF COMMUNICATIONS LTD H	Aktien	0,09	0,68	2148244	1453977	1453976,94	Financials	CNE100000205	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000882546104118739
SHANGHAI COMMERCIAL LTD	Aktien	0,09	1,63	891130	1451986	1451985,55	Financials	TW0005876007	Taiwan Stock Exchange	Taiwan	0.000881337354902757
Volksrepublik China TOWER CORP LTD H	Aktien	0,09	0,14	10136000	1450455	1450454,76	Kommunikation	CNE100003688	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000880408184216787
TATA CONSUMER PRODUCTS LTD	Aktien	0,09	9,41	154039	1449425	1449425,1	Nichtzyklische Konsumgüter	INE192A01025	National Stock Exchange Of India	Indien	0.000879783193271905
ADANI ENTERPRISES LTD	Aktien	0,09	23,3	61910	1442422	1442421,91	Industrie	INE423A01024	National Stock Exchange Of India	Indien	0.000875532343151199
UPL LTD	Aktien	0,09	11,45	125385	1436222	1436222,33	Materialien	INE628A01036	National Stock Exchange Of India	Indien	0.000871769274408051
BHARAT PETROLEUM LTD	Aktien	0,09	6,55	215874	1414149	1414149,34	Energie	INE029A01011	National Stock Exchange Of India	Indien	0.000858371241196635
HAIDILAO INTERNATIONAL HOLDING LTD	Aktien	0,08	5,43	258000	1401948	1401947,96	Zyklische Konsumgüter 	KYG4290A1013	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000850965153735666
ADANI PORTS AND SPECIAL ECONOMIC Z	Aktien	0,08	11,42	122691	1401331	1401330,58	Industrie	INE742F01042	National Stock Exchange Of India	Indien	0.000850590411675616
Volksrepublik China RESOURCES GAS GROUP LTD	Aktien	0,08	6,24	224000	1397681	1397680,76	Versorger	BMG2113B1081	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000848375015864913
HOTAI MOTOR LTD	Aktien	0,08	20,5	68000	1393865	1393865,03	Zyklische Konsumgüter 	TW0002207008	Taiwan Stock Exchange	Taiwan	0.000846058914726563
PTT EXPLORATION AND PRODUCTION NON	Aktien	0,08	3,85	357991	1379310	1379309,85	Energie	TH0355010R16	Stock Exchange Of Thailand	Thailand	0.00083722409964088
TSINGTAO BREWERY LTD H	Aktien	0,08	10,92	126000	1375842	1375842	Nichtzyklische Konsumgüter	CNE1000004K1	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000835119157380126
AYALA LAND INC	Aktien	0,08	0,76	1802400	1374264	1374263,93	Immobilien	PHY0488F1004	Philippine Stock Exchange Inc.	Philippinen	0.000834161288316173
POSTAL SAVINGS BANK OF Volksrepublik China LTD H	Aktien	0,08	0,71	1928000	1369535	1369535,31	Financials	CNE1000029W3	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000831291074185502
LARSEN AND TOUBRO LTD	Aktien	0,08	21,06	64773	1364153	1364153,43	Industrie	INE018A01030	National Stock Exchange Of India	Indien	0.000828024339276464
Südkorea ELECTRIC POWER CORP	Aktien	0,08	23,11	58868	1360378	1360378,34	Versorger	KR7015760002	Südkorea Exchange (Stock Market)	Südkorea	0.000825732906117835
SAMSUNG FIRE & MARINE INSURANCE LT	Aktien	0,08	192,13	7075	1359297	1359297,33	Financials	KR7000810002	Südkorea Exchange (Stock Market)	Südkorea	0.000825076746355072
SBI LIFE INSURANCE COMPANY LTD	Aktien	0,08	13,55	99839	1352703	1352702,64	Financials	INE123W01016	National Stock Exchange Of India	Indien	0.000821073850705729
EICHER MOTORS LTD	Aktien	0,08	37,59	35488	1334137	1334137,35	Zyklische Konsumgüter 	INE066A01021	National Stock Exchange Of India	Indien	0.000809804948214515
TATA MOTORS LTD	Aktien	0,08	4,59	290613	1333322	1333321,8	Zyklische Konsumgüter 	INE155A01022	National Stock Exchange Of India	Indien	0.000809309919403938
SAMSUNG SDS LTD	Aktien	0,08	166,6	7950	1324466	1324465,94	IT	KR7018260000	Südkorea Exchange (Stock Market)	Südkorea	0.000803934521399606
GRASIM INDUSTRIES LTD	Aktien	0,08	20,59	63942	1316611	1316610,72	Materialien	INE047A01021	National Stock Exchange Of India	Indien	0.000799166499557392
BRITANNIA INDUSTRIES LTD	Aktien	0,08	47,79	27459	1312390	1312390,22	Nichtzyklische Konsumgüter	INE216A01030	National Stock Exchange Of India	Indien	0.000796604708011761
Südkorea SHIPBUILDING AND OFFSHORE EN	Aktien	0,08	129,43	10128	1310848	1310847,78	Industrie	KR7009540006	Südkorea Exchange (Stock Market)	Südkorea	0.000795668465919203
PING AN HEALTHCARE AND TECHNOLOGY	Aktien	0,08	11,73	111500	1308070	1308069,64	Gesundheitsversorgung	KYG711391022	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000793982169138116
ACCTON TECHNOLOGY CORP	Aktien	0,08	10,5	124000	1302201	1302201,37	IT	TW0002345006	Taiwan Stock Exchange	Taiwan	0.000790420201486541
Volksrepublik China VANKE LTD H	Aktien	0,08	3,35	387800	1297358	1297357,82	Immobilien	CNE100001SR9	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000787480226260659
SHANDONG WEIGAO GROUP MEDICAL POLY	Aktien	0,08	2,15	601897	1291190	1291189,86	Gesundheitsversorgung	CNE100000171	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000783736350468268
AYALA CORP	Aktien	0,08	16,88	76450	1290714	1290714,29	Industrie	PHY0486V1154	Philippine Stock Exchange Inc.	Philippinen	0.000783447685332536
UNIMICRON TECHNOLOGY CORP	Aktien	0,08	4,24	303000	1284825	1284824,97	IT	TW0003037008	Taiwan Stock Exchange	Taiwan	0.000779872940590086
PRESIDENT CHAIN STORE CORP	Aktien	0,08	9,51	135000	1283742	1283742,33	Nichtzyklische Konsumgüter	TW0002912003	Taiwan Stock Exchange	Taiwan	0.000779215791437388
COSCO SHIPPING HOLDINGS LTD H	Aktien	0,08	2,06	620000	1275672	1275672,47	Industrie	CNE1000002J7	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000774317485757393
HERO MOTOCORP LTD	Aktien	0,08	41,76	30469	1272243	1272243,12	Zyklische Konsumgüter 	INE158A01026	National Stock Exchange Of India	Indien	0.000772235912522704
ZHONGSHENG GROUP HOLDINGS LTD	Aktien	0,08	8,77	145000	1272069	1272069,2	Zyklische Konsumgüter 	KYG9894K1085	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00077213034522366
HUA NAN FINANCIAL HOLDINGS LTD	Aktien	0,08	0,66	1914177	1264144	1264144,32	Financials	TW0002880002	Taiwan Stock Exchange	Taiwan	0.000767320040618961
SINOPAC FINANCIAL HOLDINGS LTD	Aktien	0,08	0,49	2539997	1255791	1255790,65	Financials	TW0002890001	Taiwan Stock Exchange	Taiwan	0.000762249465762668
MICROPORT SCIENTIFIC CORP	Aktien	0,08	8,16	153000	1248561	1248560,95	Gesundheitsversorgung	KYG608371046	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.0007578611268603
PEGATRON CORP	Aktien	0,08	2,65	471000	1247615	1247614,58	IT	TW0004938006	Taiwan Stock Exchange	Taiwan	0.000757286691920118
LG DISPLAY LTD	Aktien	0,08	21	59341	1246403	1246402,84	IT	KR7034220004	Südkorea Exchange (Stock Market)	Südkorea	0.000756551180656642
TAISHIN FINANCIAL HOLDING LTD	Aktien	0,08	0,55	2261509	1244605	1244605,28	Financials	TW0002887007	Taiwan Stock Exchange	Taiwan	0.000755460083864612
ADANI TOTAL GAS LTD	Aktien	0,07	22,43	54961	1232753	1232752,5	Versorger	INE399L01023	National Stock Exchange Of India	Indien	0.000748265592312376
SM INVESTMENTS CORP	Aktien	0,07	20,95	58533	1226079	1226078,76	Industrie	PHY806761029	Philippine Stock Exchange Inc.	Philippinen	0.000744214714286139
HANSOH PHARMACEUTICAL GROUP LTD	Aktien	0,07	4,25	288000	1223383	1223383,2	Gesundheitsversorgung	KYG549581067	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000742578542548492
WOORI FINANCIAL GROUP INC	Aktien	0,07	10,39	117358	1219359	1219358,5	Financials	KR7316140003	Südkorea Exchange (Stock Market)	Südkorea	0.000740135599192563
TENAGA NASIONAL	Aktien	0,07	2,41	505800	1216714	1216713,66	Versorger	MYL5347OO009	Bursa Malaysia	Malaysia	0.000738530213870553
SAMSUNG LIFE LTD	Aktien	0,07	75,51	15914	1201621	1201621,39	Financials	KR7032830002	Südkorea Exchange (Stock Market)	Südkorea	0.000729369391766449
HANWHA SOLUTIONS CORP	Aktien	0,07	39,72	29865	1186361	1186361,01	Materialien	KR7009830001	Südkorea Exchange (Stock Market)	Südkorea	0.000720106528961781
Volksrepublik China NATIONAL BUILDING MATERIAL L	Aktien	0,07	1,29	919327	1185181	1185180,84	Materialien	CNE1000002N9	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000719390180299678
Volksrepublik China CITIC BANK CORP LTD H	Aktien	0,07	0,54	2191200	1183616	1183615,51	Financials	CNE1000001Q4	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000718440044258896
LITE ON TECHNOLOGY CORP	Aktien	0,07	2,36	498572	1176709	1176709,09	IT	TW0002301009	Taiwan Stock Exchange	Taiwan	0.00071424793233695
AAC TECHNOLOGIES HOLDINGS INC	Aktien	0,07	6,68	174500	1165306	1165305,5	IT	KYG2953R1149	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000707326093585184
Volksrepublik China LONGYUAN POWER GROUP CORP LT	Aktien	0,07	1,39	834000	1159043	1159042,65	Versorger	CNE100000HD4	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000703524620730889
PTT GLOBAL CHEMICAL NON VOTING DR	Aktien	0,07	2,02	571496	1155783	1155783,28	Materialien	TH1074010R12	Stock Exchange Of Thailand	Thailand	0.000701546223263745
BYD ELECTRONIC (INTERNATIONAL) LTD	Aktien	0,07	6,81	168500	1146960	1146960,43	IT	HK0285041858	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00069619086192306
INFO EDGE INDIA LTD	Aktien	0,07	62,62	18224	1141124	1141124,13	Kommunikation	INE663F01024	National Stock Exchange Of India	Indien	0.000692648299667933
OIL AND NATURAL GAS LTD	Aktien	0,07	1,72	663245	1139684	1139684,41	Energie	INE213A01029	National Stock Exchange Of India	Indien	0.000691774407350892
FORMOSA PETROCHEMICAL CORP	Aktien	0,07	3,84	295000	1133796	1133796,46	Energie	TW0006505001	Taiwan Stock Exchange	Taiwan	0.000688200494181577
MICRO-STAR INTERNATIONAL LTD	Aktien	0,07	6,13	184000	1128834	1128834,36	IT	TW0002377009	Taiwan Stock Exchange	Taiwan	0.000685188560565046
AUTOHOME ADS REPRESENTING INC CLA	Aktien	0,07	73,63	15243	1122342	1122342,09	Kommunikation	US05278C1071	New York Stock Exchange Inc.	Volksrepublik China	0.000681247832594912
Volksrepublik China LITERATURE LTD	Aktien	0,07	11,31	98800	1117683	1117683,08	Kommunikation	KYG2121R1039	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000678419870877342
MOTHERSON SUMI SYSTEMS LTD	Aktien	0,07	3,45	323059	1115343	1115343,15	Zyklische Konsumgüter 	INE775A01035	National Stock Exchange Of India	Indien	0.000676999562171888
BDO UNIBANK INC	Aktien	0,07	2,24	495865	1111386	1111385,74	Financials	PHY077751022	Philippine Stock Exchange Inc.	Philippinen	0.000674597463017619
LOTTE CHEMICAL CORP	Aktien	0,07	251,24	4417	1109739	1109739,35	Materialien	KR7011170008	Südkorea Exchange (Stock Market)	Südkorea	0.000673598124554686
AIRTAC INTERNATIONAL GROUP	Aktien	0,07	34,64	32000	1108625	1108625,05	Industrie	KYG014081064	Taiwan Stock Exchange	Taiwan	0.000672921758171723
HENGAN INTERNATIONAL GROUP LTD	Aktien	0,07	6,74	163492	1101279	1101279,13	Nichtzyklische Konsumgüter	KYG4402L1510	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000668462875160024
DOOSAN HEAVY INDUSTRIES & CONSTRUC	Aktien	0,07	22,48	48941	1100290	1100290,3	Industrie	KR7034020008	Südkorea Exchange (Stock Market)	Südkorea	0.000667862667522525
S-OIL CORP	Aktien	0,07	94,05	11687	1099140	1099140,13	Energie	KR7010950004	Südkorea Exchange (Stock Market)	Südkorea	0.000667164528491122
ADVANTECH LTD	Aktien	0,07	11,71	93712	1097421	1097421,29	IT	TW0002395001	Taiwan Stock Exchange	Taiwan	0.000666121213770048
ASIA CEMENT CORP	Aktien	0,07	1,85	590385	1095121	1095120,5	Materialien	TW0001102002	Taiwan Stock Exchange	Taiwan	0.000664724662562781
ADANI TRANSMISSION LTD	Aktien	0,07	21,94	49827	1093404	1093404,27	Versorger	INE931S01010	National Stock Exchange Of India	Indien	0.000663682932079579
PIDILITE INDUSTRIES LTD	Aktien	0,07	28,48	38016	1082790	1082790,45	Materialien	INE318A01026	National Stock Exchange Of India	Indien	0.00065724047399574
APOLLO HOSPITALS ENTERPRISE LTD	Aktien	0,06	46,3	23126	1070721	1070721,33	Gesundheitsversorgung	INE437A01024	National Stock Exchange Of India	Indien	0.00064991466672665
WHARF (HOLDINGS) LTD	Aktien	0,06	3,49	306000	1069068	1069067,99	Immobilien	HK0004000045	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000648911109699271
VEDANTA LTD	Aktien	0,06	3,85	277182	1066300	1066300	Materialien	INE205A01025	National Stock Exchange Of India	Indien	0.000647230973843238
CATCHER TECHNOLOGY LTD	Aktien	0,06	6,57	161000	1057452	1057452,18	IT	TW0002474004	Taiwan Stock Exchange	Taiwan	0.000641860456019933
SüdkoreaN AIR LINES LTD	Aktien	0,06	29,69	35594	1056869	1056868,74	Industrie	KR7003490000	Südkorea Exchange (Stock Market)	Südkorea	0.000641506315122082
DAQO NEW ENERGY ADR REPRESENTING	Aktien	0,06	80,84	13060	1055770	1055770,4	IT	US23703Q2030	New York Stock Exchange Inc.	Volksrepublik China	0.000640839636262651
JOYY ADR INC	Aktien	0,06	70,88	14882	1054836	1054836,16	Kommunikation	US46591M1099	NASDAQ	Volksrepublik China	0.000640272564083149
SHREE CEMENT LTD	Aktien	0,06	385,63	2726	1051237	1051236,71	Materialien	INE070A01015	National Stock Exchange Of India	Indien	0.000638087742242391
GENSCRIPT BIOTECH CORP	Aktien	0,06	4,02	260000	1044109	1044109,4	Gesundheitsversorgung	KYG3825B1059	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000633761552809602
SINOPHARM GROUP LTD H	Aktien	0,06	3,42	302995	1037086	1037085,58	Gesundheitsversorgung	CNE100000FN7	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000629498180532851
SHIN KONG FINANCIAL HOLDING LTD	Aktien	0,06	0,36	2857017	1030011	1030010,82	Financials	TW0002888005	Taiwan Stock Exchange	Taiwan	0.000625203888303172
HYUNDAI ENGINEERING & CONSTRUCTION	Aktien	0,06	50,25	20489	1029543	1029542,66	Industrie	KR7000720003	Südkorea Exchange (Stock Market)	Südkorea	0.000624919720946223
GUANGDONG INVESTMENT LTD	Aktien	0,06	1,47	700000	1028768	1028768,12	Versorger	HK0270001396	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000624449584700813
ICICI LOMBARD GENERAL INSURANCE CO	Aktien	0,06	19,83	51810	1027240	1027240,48	Financials	INE765G01017	National Stock Exchange Of India	Indien	0.000623522326026067
FUYAO GLASS INDUSTRY GROUP LTD H	Aktien	0,06	6,86	149600	1026989	1026989,05	Zyklische Konsumgüter 	CNE100001TR7	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000623369711111171
PETRONAS CHEMICALS GROUP	Aktien	0,06	1,96	522800	1023310	1023310,08	Materialien	MYL5183OO008	Bursa Malaysia	Malaysia	0.000621136621609305
IQIYI ADS REPRESENTING INC	Aktien	0,06	14,47	70645	1022233	1022233,15	Kommunikation	US46267X1081	NASDAQ	Volksrepublik China	0.000620482938356317
AUROBINDO PHARMA LTD	Aktien	0,06	13,14	77334	1015902	1015901,69	Gesundheitsversorgung	INE406A01037	National Stock Exchange Of India	Indien	0.000616639820076612
GODREJ CONSUMER PRODUCTS LTD	Aktien	0,06	11,68	86947	1015347	1015346,83	Nichtzyklische Konsumgüter	INE102D01028	National Stock Exchange Of India	Indien	0.00061630302688694
ECLAT TEXTILE LTD	Aktien	0,06	22,77	43869	998966	998965,68	Zyklische Konsumgüter 	TW0001476000	Taiwan Stock Exchange	Taiwan	0.000606359870488955
JG SUMMIT HOLDINGS INC	Aktien	0,06	1,26	790413	993397	993397,15	Industrie	PHY444251177	Philippine Stock Exchange Inc.	Philippinen	0.000602979841327579
DABUR INDIA LTD	Aktien	0,06	7,45	133253	993015	993014,91	Nichtzyklische Konsumgüter	INE016A01026	National Stock Exchange Of India	Indien	0.000602747826352954
FOSUN INTERNATIONAL LTD	Aktien	0,06	1,57	629896	987454	987454,36	Industrie	HK0656038673	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000599372640953344
WEICHAI POWER LTD H	Aktien	0,06	2,19	448876	984919	984919,07	Industrie	CNE1000004L9	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000597833751132773
KUMHO PETRO CHEMICAL LTD	Aktien	0,06	207,8	4717	980200	980199,74	Materialien	KR7011780004	Südkorea Exchange (Stock Market)	Südkorea	0.000594969175917742
CENTRAL PATTANA NON-VOTING DR PCL	Aktien	0,06	1,7	570800	971866	971865,71	Immobilien	TH0481010R10	Stock Exchange Of Thailand	Thailand	0.000589910522299681
POSCO CHEMICAL LTD	Aktien	0,06	128,53	7528	967592	967591,92	Materialien	KR7003670007	Südkorea Exchange (Stock Market)	Südkorea	0.000587316384380051
LUPIN LTD	Aktien	0,06	16,87	56983	961213	961213,11	Gesundheitsversorgung	INE326A01037	National Stock Exchange Of India	Indien	0.000583444525233225
Volksrepublik China INTERNATIONAL CAPITAL CORP L	Aktien	0,06	2,78	345600	960142	960142,33	Financials	CNE100002359	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00058279457495453
Volksrepublik China MEDICAL SYSTEM HOLDINGS LTD	Aktien	0,06	2,68	357860	959602	959601,9	Gesundheitsversorgung	KYG211081248	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000582466540597225
INTOUCH HOLDINGS NON-VOTING DR PCL	Aktien	0,06	2,05	465200	955687	955686,65	Kommunikation	TH0201010R12	Stock Exchange Of Thailand	Thailand	0.000580090032043967
HYUNDAI MOTOR S2 PREF	Aktien	0,06	104,8	9065	949980	949979,85	Zyklische Konsumgüter 	KR7005382007	Südkorea Exchange (Stock Market)	Südkorea	0.000576626074694695
SHRIRAM TRANSPORT FINANCE COMPANY	Aktien	0,06	19,49	48577	946971	946970,79	Financials	INE721A01013	National Stock Exchange Of India	Indien	0.000574799612316234
Südkorea INVESTMENT HOLDINGS LTD	Aktien	0,06	98,53	9522	938170	938170,09	Financials	KR7071050009	Südkorea Exchange (Stock Market)	Südkorea	0.000569457695752882
VANGUARD INTERNATIONAL SEMICONDUCT	Aktien	0,06	4,11	227000	933887	933886,68	IT	TW0005347009	Gretai Securities Market	Taiwan	0.000566857718611674
SHANGHAI FOSUN PHARMACEUTICAL (GRO	Aktien	0,06	7,81	119500	932817	932817,45	Gesundheitsversorgung	CNE100001M79	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000566208709163899
BAJAJ AUTO LTD	Aktien	0,06	58,21	15964	929342	929342,33	Zyklische Konsumgüter 	INE917I01010	National Stock Exchange Of India	Indien	0.000564099354102639
WANT WANT Volksrepublik China HOLDINGS LTD	Aktien	0,06	0,76	1222019	926339	926338,88	Nichtzyklische Konsumgüter	KYG9431R1039	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000562276296925119
BANK OF THE PHILIPPINE ISLANDS	Aktien	0,06	1,8	514963	926049	926048,88	Financials	PHY0967S1694	Philippine Stock Exchange Inc.	Philippinen	0.00056210027049502
NANYA TECHNOLOGY CORP	Aktien	0,06	2,97	310000	919596	919595,81	IT	TW0002408002	Taiwan Stock Exchange	Taiwan	0.000558183336442334
PRESS METAL ALUMINIUM HOLDINGS	Aktien	0,06	1,26	727100	917682	917681,93	Materialien	MYL8869OO009	Bursa Malaysia	Malaysia	0.000557021634842204
